,actor_network,articulation,black_box,centre_of_calculation,construction,enrollment,immutable_mobile,inscription,militar,network,proposition,spokesperson,translation,trial_of_strength
actor_network,0,0,6,0,7,0,0,1,27,1,0,10,2,0
articulation,0,0,0,0,0,0,0,1,1,1,0,6,0,0
black_box,6,0,0,6,29,20,1,5,152,17,0,11,41,6
centre_of_calculation,0,0,6,0,4,1,0,10,15,21,0,1,5,0
construction,7,0,29,4,0,12,4,14,59,21,0,3,22,1
enrollment,0,0,20,1,12,0,0,2,52,19,0,2,41,0
immutable_mobile,0,0,1,0,4,0,0,4,2,4,0,0,1,0
inscription,1,1,5,10,14,2,4,0,72,32,0,16,18,10
militar,27,1,152,15,59,52,2,72,0,98,3,55,71,39
network,1,1,17,21,21,19,4,32,98,0,3,9,18,1
proposition,0,0,0,0,0,0,0,0,3,3,0,0,0,0
spokesperson,10,6,11,1,3,2,0,16,55,9,0,0,3,22
translation,2,0,41,5,22,41,1,18,71,18,0,3,0,3
trial_of_strength,0,0,6,0,1,0,0,10,39,1,0,22,3,0
